Date,StateName,DistrictName,Avg Soilmoisture Level (at 15cm),Avg SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Perg (at 15cm),Volume Soilmoisture percg (at 15cm)
26-01-2020,MAHARASHTRA,AHMADNAGAR,0,1150.91,0,13.15947479
26-01-2020,MAHARASHTRA,THANE,0,405.07,0,8.304375816
26-01-2020,MAHARASHTRA,SANGLI,0,620.49,0,14.02821505
26-01-2020,MAHARASHTRA,WARDHA,0,829.72,0,25.74117003
26-01-2020,MAHARASHTRA,BULDANA,0,758.81,0,15.22349004
26-01-2020,MAHARASHTRA,SINDHUDURG,0,286.9,0,10.90455861
25-01-2020,MAHARASHTRA,WASHIM,0,578.94,0,21.78415817
25-01-2020,MAHARASHTRA,SATARA,0,643.18,0,11.87658166
25-01-2020,MAHARASHTRA,PUNE,0,1072.85,0,13.33696426
25-01-2020,MAHARASHTRA,PARBHANI,0,632.88,0,19.47646366
25-01-2020,MAHARASHTRA,JALNA,0,617.89,0,15.53182065
25-01-2020,MAHARASHTRA,GONDIYA,0,560.06,0,20.04792872
25-01-2020,MAHARASHTRA,MUMBAI,0,0.16,0,0.202408512
25-01-2020,MAHARASHTRA,NASHIK,0,741.26,0,9.315891547
25-01-2020,MAHARASHTRA,GARHCHIROLI,0,1272.42,0,17.19923343
25-01-2020,MAHARASHTRA,RATNAGIRI,0,470.61,0,11.03494917
25-01-2020,MAHARASHTRA,OSMANABAD,0,591.57,0,15.19988036
25-01-2020,MAHARASHTRA,BID,0,868.23,0,15.31595209
25-01-2020,MAHARASHTRA,LATUR,0,568.89,0,16.3890936
25-01-2020,MAHARASHTRA,YAVATMAL,0,1279.05,0,18.47533498
25-01-2020,MAHARASHTRA,BHANDARA,0,412.33,0,20.92800725
25-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,6.08,0,2.619667185
25-01-2020,MAHARASHTRA,NANDURBAR,0,297.34,0,9.875183611
25-01-2020,MAHARASHTRA,NAGPUR,0,1383.99,0,27.31655158
25-01-2020,MAHARASHTRA,CHANDRAPUR,0,1311.48,0,22.67774405
25-01-2020,MAHARASHTRA,JALGAON,0,919.6,0,15.29556138
25-01-2020,MAHARASHTRA,HINGOLI,0,524.04,0,21.81175402
25-01-2020,MAHARASHTRA,AKOLA,0,506.81,0,18.34642188
25-01-2020,MAHARASHTRA,AURANGABAD,0,745.55,0,14.40241091
25-01-2020,MAHARASHTRA,DHULE,0,338.66,0,9.231284354
25-01-2020,MAHARASHTRA,KOLHAPUR,0,454.33,0,11.43517941
25-01-2020,MAHARASHTRA,RAIGARH,0,390.47,0,10.61739052
25-01-2020,MAHARASHTRA,AMRAVATI,0,1464.15,0,23.49328931
25-01-2020,MAHARASHTRA,NANDED,0,1402.93,0,25.81132103
25-01-2020,MAHARASHTRA,SOLAPUR,0,1306.83,0,17.0187546
25-01-2020,MAHARASHTRA,AHMADNAGAR,0,1156.48,0,13.22316213
25-01-2020,MAHARASHTRA,THANE,0,407.13,0,8.346649289
25-01-2020,MAHARASHTRA,SANGLI,0,623.25,0,14.09062643
25-01-2020,MAHARASHTRA,WARDHA,0,831.99,0,25.81141538
25-01-2020,MAHARASHTRA,BULDANA,0,761.23,0,15.27206771
25-01-2020,MAHARASHTRA,SINDHUDURG,0,287.89,0,10.94239847
24-01-2020,MAHARASHTRA,WASHIM,0,580.93,0,21.85911731
24-01-2020,MAHARASHTRA,SATARA,0,647.38,0,11.95409563
24-01-2020,MAHARASHTRA,PUNE,0,1079,0,13.41344369
24-01-2020,MAHARASHTRA,PARBHANI,0,634.68,0,19.53187482
24-01-2020,MAHARASHTRA,JALNA,0,620.06,0,15.58634667
24-01-2020,MAHARASHTRA,GONDIYA,0,565.54,0,20.24381301
24-01-2020,MAHARASHTRA,MUMBAI,0,0.16,0,0.203175145
24-01-2020,MAHARASHTRA,NASHIK,0,746.9,0,9.386679851
24-01-2020,MAHARASHTRA,GARHCHIROLI,0,1284.07,0,17.3567871
24-01-2020,MAHARASHTRA,RATNAGIRI,0,472.32,0,11.07489576
24-01-2020,MAHARASHTRA,OSMANABAD,0,594.49,0,15.27488064
24-01-2020,MAHARASHTRA,BID,0,872.06,0,15.38346489
24-01-2020,MAHARASHTRA,LATUR,0,571.78,0,16.47254075
24-01-2020,MAHARASHTRA,YAVATMAL,0,1288.56,0,18.61272251
24-01-2020,MAHARASHTRA,BHANDARA,0,416.73,0,21.15110909
24-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,6.19,0,2.666832083
24-01-2020,MAHARASHTRA,NANDURBAR,0,300.08,0,9.966010322
24-01-2020,MAHARASHTRA,NAGPUR,0,1399.06,0,27.61384891
24-01-2020,MAHARASHTRA,CHANDRAPUR,0,1325.31,0,22.91696314
24-01-2020,MAHARASHTRA,JALGAON,0,923.8,0,15.36538842
24-01-2020,MAHARASHTRA,HINGOLI,0,526.17,0,21.90039426
24-01-2020,MAHARASHTRA,AKOLA,0,508.79,0,18.41789104
24-01-2020,MAHARASHTRA,AURANGABAD,0,748.97,0,14.46854359
24-01-2020,MAHARASHTRA,DHULE,0,342.08,0,9.32463316
24-01-2020,MAHARASHTRA,KOLHAPUR,0,456.56,0,11.49144653
24-01-2020,MAHARASHTRA,RAIGARH,0,392.01,0,10.65917248
24-01-2020,MAHARASHTRA,AMRAVATI,0,1468.36,0,23.5608333
24-01-2020,MAHARASHTRA,NANDED,0,1411.08,0,25.96137631
24-01-2020,MAHARASHTRA,SOLAPUR,0,1312.63,0,17.09435719
24-01-2020,MAHARASHTRA,AHMADNAGAR,0,1162.96,0,13.29719281
24-01-2020,MAHARASHTRA,THANE,0,409.41,0,8.393375584
24-01-2020,MAHARASHTRA,SANGLI,0,626.76,0,14.16996694
24-01-2020,MAHARASHTRA,WARDHA,0,839.75,0,26.05236528
24-01-2020,MAHARASHTRA,BULDANA,0,764.39,0,15.33539392
24-01-2020,MAHARASHTRA,SINDHUDURG,0,288.93,0,10.98184789
23-01-2020,MAHARASHTRA,WASHIM,0,582.99,0,21.93636365
23-01-2020,MAHARASHTRA,SATARA,0,651.69,0,12.03368702
23-01-2020,MAHARASHTRA,PUNE,0,1085.41,0,13.49306898
23-01-2020,MAHARASHTRA,PARBHANI,0,636.51,0,19.58816822
23-01-2020,MAHARASHTRA,JALNA,0,622.24,0,15.64112197
23-01-2020,MAHARASHTRA,GONDIYA,0,571.04,0,20.44073567
23-01-2020,MAHARASHTRA,MUMBAI,0,0.17,0,0.216401211
23-01-2020,MAHARASHTRA,NASHIK,0,752.1,0,9.452136836
23-01-2020,MAHARASHTRA,GARHCHIROLI,0,1296.12,0,17.51962562
23-01-2020,MAHARASHTRA,RATNAGIRI,0,474.14,0,11.11754997
23-01-2020,MAHARASHTRA,OSMANABAD,0,597.76,0,15.35883691
23-01-2020,MAHARASHTRA,BID,0,876.13,0,15.45530806
23-01-2020,MAHARASHTRA,LATUR,0,574.5,0,16.55072028
23-01-2020,MAHARASHTRA,YAVATMAL,0,1297.83,0,18.74659818
23-01-2020,MAHARASHTRA,BHANDARA,0,421.29,0,21.38268387
23-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,6.27,0,2.70207538
23-01-2020,MAHARASHTRA,NANDURBAR,0,302.68,0,10.05241695
23-01-2020,MAHARASHTRA,NAGPUR,0,1414.35,0,27.91572587
23-01-2020,MAHARASHTRA,CHANDRAPUR,0,1339.02,0,23.15406436
23-01-2020,MAHARASHTRA,JALGAON,0,927.78,0,15.4316971
23-01-2020,MAHARASHTRA,HINGOLI,0,528.37,0,21.99185422
23-01-2020,MAHARASHTRA,AKOLA,0,510.87,0,18.49338978
23-01-2020,MAHARASHTRA,AURANGABAD,0,752.51,0,14.53679616
23-01-2020,MAHARASHTRA,DHULE,0,345.72,0,9.423832948
23-01-2020,MAHARASHTRA,KOLHAPUR,0,459.02,0,11.55318768
23-01-2020,MAHARASHTRA,RAIGARH,0,393.34,0,10.6953302
23-01-2020,MAHARASHTRA,AMRAVATI,0,1476.68,0,23.69432216
23-01-2020,MAHARASHTRA,NANDED,0,1419.11,0,26.10900296
23-01-2020,MAHARASHTRA,SOLAPUR,0,1319.08,0,17.17836172
23-01-2020,MAHARASHTRA,AHMADNAGAR,0,1169.6,0,13.37307949
23-01-2020,MAHARASHTRA,THANE,0,411.44,0,8.434915216
23-01-2020,MAHARASHTRA,SANGLI,0,630.69,0,14.25887608
23-01-2020,MAHARASHTRA,WARDHA,0,847.72,0,26.2996827
23-01-2020,MAHARASHTRA,BULDANA,0,767.63,0,15.4004191
23-01-2020,MAHARASHTRA,SINDHUDURG,0,290.12,0,11.0269938
22-01-2020,MAHARASHTRA,WASHIM,0,584.82,0,22.00519224
22-01-2020,MAHARASHTRA,SATARA,0,653.97,0,12.07585398
22-01-2020,MAHARASHTRA,PUNE,0,1089.3,0,13.54137703
22-01-2020,MAHARASHTRA,PARBHANI,0,638.27,0,19.64243068
22-01-2020,MAHARASHTRA,JALNA,0,623.96,0,15.68426843
22-01-2020,MAHARASHTRA,GONDIYA,0,575.25,0,20.59150639
22-01-2020,MAHARASHTRA,MUMBAI,0,0.18,0,0.230219711
22-01-2020,MAHARASHTRA,NASHIK,0,755.7,0,9.497348569
22-01-2020,MAHARASHTRA,GARHCHIROLI,0,1300.87,0,17.58389461
22-01-2020,MAHARASHTRA,RATNAGIRI,0,475.38,0,11.14666152
