Date,StateName,DistrictName,Evapo Level (mm),Evapo Volume (Tmcft),Aggregate Evapo Level (mm),Aggregate Evapo Volume (Tmcft)
27-01-2020,MAHARASHTRA,WARDHA,0.725989826,0.156006617,0.291588983,0.06265902
27-01-2020,MAHARASHTRA,BULDANA,0.344553303,0.114494865,0.170479734,0.056650318
27-01-2020,MAHARASHTRA,SINDHUDURG,1.100639661,0.193052484,0.459634837,0.08062007
26-01-2020,MAHARASHTRA,WASHIM,0.332334091,0.058881401,0.196080307,0.034740593
26-01-2020,MAHARASHTRA,SATARA,0.4421759,0.159640911,0.137536393,0.049655431
26-01-2020,MAHARASHTRA,PUNE,0.465183071,0.249468279,0.17393315,0.093276833
26-01-2020,MAHARASHTRA,PARBHANI,0.261206631,0.056585283,0.111452872,0.024144074
26-01-2020,MAHARASHTRA,JALNA,0.314635199,0.083446416,0.136559057,0.036217702
26-01-2020,MAHARASHTRA,GONDIYA,0.891109198,0.165961533,0.280779071,0.052292722
26-01-2020,MAHARASHTRA,MUMBAI,0.018075334,0.000092303,0.000346504,1.77E-06
26-01-2020,MAHARASHTRA,NASHIK,0.392290634,0.208096321,0.188545273,0.100016605
26-01-2020,MAHARASHTRA,GARHCHIROLI,1.059199979,0.522404642,0.226880455,0.111898985
26-01-2020,MAHARASHTRA,RATNAGIRI,1.005456905,0.285867901,0.469267714,0.133420514
26-01-2020,MAHARASHTRA,OSMANABAD,0.309453626,0.080292076,0.141540469,0.036724657
26-01-2020,MAHARASHTRA,BID,0.291673034,0.110228856,0.14134787,0.053418082
26-01-2020,MAHARASHTRA,LATUR,0.24870356,0.057552201,0.121542846,0.028126088
26-01-2020,MAHARASHTRA,YAVATMAL,0.594442567,0.274355788,0.259424278,0.11973327
26-01-2020,MAHARASHTRA,BHANDARA,0.76235619,0.100135407,0.305235212,0.040092613
26-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.301145319,0.004661015,0.030283627,0.000468719
26-01-2020,MAHARASHTRA,NANDURBAR,0.480411355,0.096435606,0.189205075,0.037980172
26-01-2020,MAHARASHTRA,NAGPUR,0.857331752,0.289578284,0.293709163,0.099205232
26-01-2020,MAHARASHTRA,CHANDRAPUR,0.925691007,0.356890662,0.36463785,0.140582379
26-01-2020,MAHARASHTRA,JALGAON,0.335394962,0.13443046,0.12662474,0.050752766
26-01-2020,MAHARASHTRA,HINGOLI,0.389487383,0.06238456,0.154817462,0.024797258
26-01-2020,MAHARASHTRA,AKOLA,0.376313256,0.069303495,0.188578664,0.034729471
26-01-2020,MAHARASHTRA,AURANGABAD,0.393744138,0.13588303,0.175515314,0.060571194
26-01-2020,MAHARASHTRA,DHULE,0.397482628,0.097213139,0.141320518,0.034563048
26-01-2020,MAHARASHTRA,KOLHAPUR,0.613357173,0.162460449,0.136008175,0.036024604
26-01-2020,MAHARASHTRA,RAIGARH,0.710044072,0.174087331,0.145268047,0.035616559
26-01-2020,MAHARASHTRA,AMRAVATI,0.442687313,0.183928111,0.199324242,0.08281541
26-01-2020,MAHARASHTRA,NANDED,0.555049697,0.201124736,0.217213507,0.078708284
26-01-2020,MAHARASHTRA,SOLAPUR,0.336693412,0.172359006,0.177586713,0.090909617
26-01-2020,MAHARASHTRA,AHMADNAGAR,0.339984751,0.198231329,0.170977378,0.09968998
26-01-2020,MAHARASHTRA,THANE,0.656717169,0.213554676,0.174009302,0.056585242
26-01-2020,MAHARASHTRA,SANGLI,0.360576832,0.106325884,0.168726265,0.049753527
26-01-2020,MAHARASHTRA,WARDHA,0.736941611,0.158360026,0.295645526,0.063530723
26-01-2020,MAHARASHTRA,BULDANA,0.350031983,0.116315427,0.17360686,0.05768946
26-01-2020,MAHARASHTRA,SINDHUDURG,1.161613039,0.20374723,0.485619259,0.085177745
25-01-2020,MAHARASHTRA,WASHIM,0.344002006,0.060948668,0.202805375,0.035932109
25-01-2020,MAHARASHTRA,SATARA,0.455026895,0.164280568,0.14308936,0.051660246
25-01-2020,MAHARASHTRA,PUNE,0.475249533,0.254866719,0.177070389,0.094959271
25-01-2020,MAHARASHTRA,PARBHANI,0.266496032,0.057731128,0.113787563,0.024649839
25-01-2020,MAHARASHTRA,JALNA,0.313963213,0.083268194,0.136091022,0.036093571
25-01-2020,MAHARASHTRA,GONDIYA,1.034762315,0.192715708,0.315685055,0.058793665
25-01-2020,MAHARASHTRA,MUMBAI,0.020782162,0.000106126,0.000363113,1.85E-06
25-01-2020,MAHARASHTRA,NASHIK,0.39491962,0.209490905,0.189727796,0.100643892
25-01-2020,MAHARASHTRA,GARHCHIROLI,1.101468607,0.543251817,0.237476991,0.117125269
25-01-2020,MAHARASHTRA,RATNAGIRI,1.009037744,0.286885993,0.480768782,0.136690456
25-01-2020,MAHARASHTRA,OSMANABAD,0.31169279,0.080873059,0.142109446,0.036872286
25-01-2020,MAHARASHTRA,BID,0.294388579,0.111255113,0.142780617,0.053959545
25-01-2020,MAHARASHTRA,LATUR,0.263860506,0.061059652,0.128946412,0.029839339
25-01-2020,MAHARASHTRA,YAVATMAL,0.626593052,0.289194348,0.273519053,0.126238496
25-01-2020,MAHARASHTRA,BHANDARA,0.835547273,0.109749048,0.331753336,0.043575766
25-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.332568757,0.005147375,0.033603023,0.000520095
25-01-2020,MAHARASHTRA,NANDURBAR,0.471934808,0.094734062,0.185658093,0.037268167
25-01-2020,MAHARASHTRA,NAGPUR,0.929895655,0.314087968,0.316695339,0.106969201
25-01-2020,MAHARASHTRA,CHANDRAPUR,0.929707161,0.358439049,0.369319463,0.142387326
25-01-2020,MAHARASHTRA,JALGAON,0.331206626,0.132751723,0.125547409,0.050320958
25-01-2020,MAHARASHTRA,HINGOLI,0.40766825,0.065296607,0.161942324,0.025938454
25-01-2020,MAHARASHTRA,AKOLA,0.362212425,0.066706624,0.182913925,0.033686228
25-01-2020,MAHARASHTRA,AURANGABAD,0.388972293,0.134236243,0.172346838,0.059477738
25-01-2020,MAHARASHTRA,DHULE,0.386685518,0.094572468,0.13740921,0.033606451
25-01-2020,MAHARASHTRA,KOLHAPUR,0.638229719,0.169048462,0.141710507,0.037534985
25-01-2020,MAHARASHTRA,RAIGARH,0.72177044,0.176962381,0.1479563,0.03627566
25-01-2020,MAHARASHTRA,AMRAVATI,0.403338943,0.167579616,0.180833652,0.075132923
25-01-2020,MAHARASHTRA,NANDED,0.592909467,0.214843393,0.231768886,0.083982491
25-01-2020,MAHARASHTRA,SOLAPUR,0.34563293,0.176935295,0.181943187,0.09313977
25-01-2020,MAHARASHTRA,AHMADNAGAR,0.339716052,0.198074662,0.170585493,0.099461487
25-01-2020,MAHARASHTRA,THANE,0.656470554,0.213474481,0.172737636,0.056171715
25-01-2020,MAHARASHTRA,SANGLI,0.371380857,0.109511745,0.174132659,0.05134775
25-01-2020,MAHARASHTRA,WARDHA,0.762878967,0.163933657,0.30572388,0.065696442
25-01-2020,MAHARASHTRA,BULDANA,0.348792647,0.115903596,0.1727127,0.057392331
25-01-2020,MAHARASHTRA,SINDHUDURG,1.170445251,0.205296403,0.486817296,0.085387881
24-01-2020,MAHARASHTRA,WASHIM,0.339062365,0.060073486,0.199380175,0.035325248
24-01-2020,MAHARASHTRA,SATARA,0.463039345,0.167173341,0.145204933,0.052424041
24-01-2020,MAHARASHTRA,PUNE,0.477154294,0.255888204,0.176601023,0.094707559
24-01-2020,MAHARASHTRA,PARBHANI,0.261049433,0.056551229,0.111330982,0.024117669
24-01-2020,MAHARASHTRA,JALNA,0.311663832,0.082658361,0.135122361,0.035836667
24-01-2020,MAHARASHTRA,GONDIYA,1.035134748,0.192785071,0.315048229,0.058675062
24-01-2020,MAHARASHTRA,MUMBAI,0.021077624,0.000107634,0.000362199,1.85E-06
24-01-2020,MAHARASHTRA,NASHIK,0.390444546,0.207117037,0.18667562,0.099024821
24-01-2020,MAHARASHTRA,GARHCHIROLI,1.106482649,0.545724777,0.239201557,0.117975837
24-01-2020,MAHARASHTRA,RATNAGIRI,1.019215569,0.289779715,0.487090676,0.138487874
24-01-2020,MAHARASHTRA,OSMANABAD,0.328983147,0.085359284,0.15030236,0.038998052
24-01-2020,MAHARASHTRA,BID,0.300108443,0.113416759,0.145568886,0.055013285
24-01-2020,MAHARASHTRA,LATUR,0.264046259,0.061102637,0.128930635,0.029835688
24-01-2020,MAHARASHTRA,YAVATMAL,0.613294265,0.283056498,0.267129787,0.123289628
24-01-2020,MAHARASHTRA,BHANDARA,0.826980282,0.108623774,0.328110072,0.043097224
24-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.322238523,0.004987487,0.032551696,0.000503823
24-01-2020,MAHARASHTRA,NANDURBAR,0.448745436,0.090079132,0.176500543,0.035429922
24-01-2020,MAHARASHTRA,NAGPUR,0.936993457,0.31648537,0.319080108,0.107774697
24-01-2020,MAHARASHTRA,CHANDRAPUR,0.901206513,0.347450917,0.359871604,0.138744802
24-01-2020,MAHARASHTRA,JALGAON,0.327989611,0.131462303,0.123867431,0.049647602
24-01-2020,MAHARASHTRA,HINGOLI,0.392680412,0.062895991,0.156107096,0.02500382
24-01-2020,MAHARASHTRA,AKOLA,0.372313788,0.068566935,0.187226918,0.034480528
24-01-2020,MAHARASHTRA,AURANGABAD,0.376591344,0.129963517,0.167224533,0.057710005
24-01-2020,MAHARASHTRA,DHULE,0.379337035,0.092775234,0.134774459,0.032962065
24-01-2020,MAHARASHTRA,KOLHAPUR,0.646192661,0.171157613,0.143361587,0.037972308
24-01-2020,MAHARASHTRA,RAIGARH,0.729297178,0.178807773,0.149165472,0.036572123
24-01-2020,MAHARASHTRA,AMRAVATI,0.426728442,0.177297505,0.190110278,0.078987184
24-01-2020,MAHARASHTRA,NANDED,0.57149814,0.207084903,0.223053204,0.080824324
24-01-2020,MAHARASHTRA,SOLAPUR,0.371059794,0.189951733,0.196046374,0.100359427
24-01-2020,MAHARASHTRA,AHMADNAGAR,0.33449541,0.195030717,0.168754294,0.098393789
24-01-2020,MAHARASHTRA,THANE,0.647852235,0.210671931,0.169678875,0.055177052
24-01-2020,MAHARASHTRA,SANGLI,0.371625888,0.109583999,0.174223802,0.051374626
24-01-2020,MAHARASHTRA,WARDHA,0.758131436,0.162913469,0.302379149,0.064977699
24-01-2020,MAHARASHTRA,BULDANA,0.347548684,0.115490228,0.171996542,0.057154352
24-01-2020,MAHARASHTRA,SINDHUDURG,1.186950329,0.208191398,0.493817207,0.086615667
23-01-2020,MAHARASHTRA,WASHIM,0.377807823,0.066938225,0.222644938,0.03944719
23-01-2020,MAHARASHTRA,SATARA,0.475170603,0.171553149,0.147691371,0.053321732
23-01-2020,MAHARASHTRA,PUNE,0.489797566,0.262668535,0.180625494,0.096865801
23-01-2020,MAHARASHTRA,PARBHANI,0.273336386,0.059212956,0.11650248,0.025237973
23-01-2020,MAHARASHTRA,JALNA,0.327435603,0.086841293,0.141295392,0.037473856
